QD1_yrborn2,QD2_gender,QD14_ethnic,QD4_adulthh,QD5_childhh,QD3_marstat,QD16_disab,QD18_urbrur,QL2_Edntt,QO1_Labfor,QO4E_grader,Q1_income,weight
5,1,9,3,0,2,0,3,7,3,2,3,1.1196257773929017
8,0,9,1,0,4,1,3,1,3,4,-2,0.8041056170128803
7,0,9,2,0,2,1,2,5,3,4,3,1.1700910366632542
2,1,9,1,1,1,0,2,1,5,NA,-2,0.8754305845257339
6,0,9,3,1,2,0,2,7,3,5,-2,1.415876101922217
3,0,9,2,1,3,0,4,7,1,2,5,1.337958642560505
5,1,9,2,0,4,0,2,3,1,4,2,1.2265814845014906
6,1,9,1,0,4,0,4,6,2,3,-2,0.5830942678751251
6,0,12,2,0,3,1,4,1,3,2,4,0.9795648316931012
3,1,9,1,1,1,0,4,5,2,3,3,0.7113002126673321
6,1,9,2,0,2,1,3,7,3,-2,-2,0.6830266102903735
4,0,9,2,2,2,0,3,7,1,1,7,1.2455275592167339
5,0,9,2,0,2,0,3,3,1,4,4,0.999747954898622
5,1,9,4,0,-2,1,3,7,1,2,4,1.1280925829041077
8,1,9,1,0,5,1,3,1,2,3,-2,0.7081780171750913
8,0,12,1,0,5,0,4,1,3,5,-2,0.8923606952982431
5,1,9,3,0,2,0,4,1,1,3,-2,1.2425109538467032
6,0,10,1,0,5,0,4,1,3,3,-2,0.5861161824655016
4,0,9,2,2,2,0,4,7,1,3,-2,1.732741313211351
5,0,9,2,0,2,0,4,3,1,3,-2,1.3908199553133775
4,0,9,2,2,2,0,4,7,1,3,-2,1.732741313211351
5,1,9,2,0,2,0,4,7,3,3,-2,1.2157055627265705
8,1,9,1,0,5,0,4,3,3,3,-2,0.8879572429236375
5,0,9,2,0,2,0,4,1,4,6,-2,1.2535456002877299
8,1,9,1,0,1,0,4,1,3,5,-2,0.8879572429236375
5,1,9,3,0,-2,0,4,3,1,3,-2,1.4144720047565031
3,0,9,1,1,4,0,2,4,1,4,5,0.6491460165130688
6,0,9,2,0,2,1,2,4,3,2,-2,0.7814121023443622
5,0,9,2,0,2,0,4,4,3,2,4,1.1406612980182742
7,0,9,2,0,2,1,4,7,3,3,-2,0.9511246667666514
6,1,9,2,0,4,0,4,3,3,3,-2,0.7792984382287066
3,1,9,2,1,2,0,3,4,1,2,-2,0.9506441331748963
5,1,9,2,0,2,0,4,7,3,3,6,0.9970437078430299
8,1,9,1,0,1,0,3,1,3,3,-2,0.985196432135993
4,1,9,2,2,2,0,3,1,11,NA,-2,1.514576523862536
7,0,9,2,0,2,0,3,1,3,3,-2,1.1597160075721733
6,1,9,2,0,2,0,3,3,2,3,-2,0.9502065345042259
7,0,9,2,0,2,0,4,1,3,6,-2,1.2013300800168367
3,0,9,2,0,2,0,4,3,1,3,5,1.3736794084929058
5,1,9,2,0,1,0,4,4,3,2,-2,1.2593287075554436
3,1,9,2,2,2,0,4,7,2,2,7,1.2007231359658563
5,0,9,2,0,2,0,4,7,3,2,-2,1.2535456002877299
7,1,9,1,0,-2,0,4,1,3,5,-2,0.622194922740456
6,0,9,1,0,1,0,4,1,3,5,-2,0.6672334992826878
6,0,9,2,0,2,-2,4,1,4,5,-2,0.9797826523232942
1,0,9,3,0,1,0,2,1,1,4,5,1.668870675773779
5,1,9,2,0,2,0,2,1,2,5,3,0.8738723840217792
6,1,9,2,0,2,0,2,1,3,5,2,0.6830266102903735
3,0,9,2,2,3,0,2,1,1,4,-2,0.9532225322739845
5,0,9,1,0,1,1,2,0,3,4,1,0.6808299011683349
6,0,9,2,0,2,0,6,1,3,5,1,0.7757197328162129
8,0,9,1,0,5,0,3,4,3,3,1,0.8042844217091837
5,1,9,1,0,5,1,3,7,3,2,2,0.6142049769290961
6,0,9,2,0,2,0,3,1,3,3,2,0.8064869654022502
6,1,9,2,0,3,1,3,7,3,2,-2,0.7049443649124757
3,0,10,2,0,3,0,3,7,1,2,3,0.983810648824462
